   1 	    14.7595 
   2 	    17.3929 
   3 	    20.1169 
   4 	    22.8349 
   5 	    25.5232 
   6 	    28.3025 
   7 	    30.9695 
   8 	    33.6725 
   9 	    36.4216 
  10 	    39.1332 
  11 	    41.8526 
  12 	    44.5030 
  13 	    47.1801 
  14 	    49.9305 
  15 	    52.6402 
  16 	    55.3742 
  17 	    58.0245 
  18 	    60.7005 
  19 	    63.4070 
  20 	    66.2238 
  21 	    68.8939 
  22 	    71.6091 
  23 	    74.3006 
  24 	    77.0117 
  25 	    79.7206 
  26 	    82.4179 
  27 	    85.1047 
  28 	    87.8263 
  29 	    90.5032 
  30 	    93.1460 
