   1 	     9.2554 
   2 	    11.9758 
   3 	    14.5606 
   4 	    17.3690 
   5 	    20.0627 
   6 	    22.7665 
   7 	    25.4951 
   8 	    28.1722 
   9 	    30.8724 
  10 	    33.4901 
  11 	    36.2040 
  12 	    38.9608 
  13 	    41.6905 
  14 	    44.3611 
  15 	    47.1465 
  16 	    49.8129 
  17 	    52.4766 
  18 	    55.1826 
  19 	    57.8993 
  20 	    60.6392 
  21 	    63.3081 
  22 	    65.9914 
  23 	    68.7616 
  24 	    71.3938 
  25 	    74.1604 
  26 	    76.8380 
  27 	    79.5267 
