   1 	   128.7225 
   2 	   131.3304 
   3 	   133.9163 
   4 	   136.6693 
   5 	   139.3578 
   6 	   142.0671 
   7 	   144.8485 
   8 	   147.4828 
   9 	   150.1122 
  10 	   152.8635 
  11 	   155.5783 
  12 	   158.2809 
  13 	   160.9214 
  14 	   163.6311 
  15 	   166.4603 
  16 	   169.0919 
  17 	   171.7803 
  18 	   174.4824 
  19 	   177.0782 
  20 	   179.8876 
  21 	   182.6031 
  22 	   185.2980 
  23 	   188.0000 
  24 	   190.7357 
  25 	   193.4233 
  26 	   196.1070 
  27 	   198.8077 
